sampleid,field_rank,tumor_area,ptype_count
37,0.531007752,0.1721632,17.42532667
37,0.534883721,0.1721632,17.42532667
37,0.53875969,0.1721632,17.42532667
37,0.542635659,0.1721632,17.42532667
37,0.65503876,0.1721632,11.61688444
37,0.771317829,0.1721632,5.808442222
37,0.775193798,0.1721632,5.808442222
37,0.779069767,0.1721632,5.808442222
37,0.782945736,0.1721632,5.808442222
37,0.058139535,0.1722168,127.7459574
37,0.019379845,0.1723238,203.1060132
37,0.104651163,0.1723238,87.04543423
37,0.372093023,0.1723238,29.01514474
37,0.550387597,0.1723238,17.40908685
37,0.554263566,0.1723238,17.40908685
37,0.662790698,0.1723238,11.6060579
37,0.790697674,0.1723238,5.803028949
37,0.794573643,0.1723238,5.803028949
37,0.015503876,0.1723776,220.4462761
37,0.11627907,0.1723776,81.21704908
37,0.379844961,0.1723776,29.00608896
37,0.135658915,0.1725384,75.34554627
37,0.139534884,0.1725384,75.34554627
38,0.258064516,0.010484342,307.1779963
38,0.580645161,0.011848603,87.67253956
38,0.274193548,0.015278725,273.3371794
38,0.532258065,0.016082519,104.4873849
38,0.459677419,0.016710838,151.8241083
38,0.483870968,0.018756927,127.4682488
38,0.217741935,0.018978589,349.2668888
38,0.14516129,0.020735728,541.5339035
38,0.008064516,0.021565509,4459.609846
38,0.330645161,0.021657637,210.4140949
38,0.870967742,0.023189872,11.64222963
38,0.620967742,0.023342305,81.11615834
38,0.096774194,0.024707172,825.827223
38,0.782258065,0.026480482,29.18760391
38,0.185483871,0.026582694,396.7104083
38,0.862903226,0.02712734,11.65676425
38,0.467741935,0.027900723,145.3921167
38,0.024193548,0.02903489,2613.910874
38,0.838709677,0.02948505,11.68967194
38,0.338709677,0.029914545,210.1507481
38,0.411290323,0.030877785,168.8654108
38,0.830645161,0.032698443,17.26519337
38,0.451612903,0.037464819,156.7791296
38,0.370967742,0.040457938,192.2794555
38,0.225806452,0.040675969,342.5914313
38,0.717741935,0.041601608,52.21096012
38,0.322580645,0.042289994,226.2474939
38,0.048387097,0.044155461,1484.588337
38,0.60483871,0.047059168,81.75144291
38,0.677419355,0.048643717,52.60352373
38,0.540322581,0.049655283,104.4219202
38,0.508064516,0.050100769,105.2070475
38,0.669354839,0.050431519,58.12101726
38,0.153225806,0.050658766,490.8095904
38,0.701612903,0.053159233,52.4554391
38,0.137096774,0.054110368,623.8339552
38,0.032258065,0.056247698,2059.401517
38,0.75,0.05825926,40.82456286
38,0.298387097,0.059003794,238.7407532
38,0.653225806,0.06068661,64.05239719
38,0.233870968,0.060878906,333.1556503
38,0.798387097,0.06131639,29.03317214
38,0.362903226,0.064036292,198.724423
38,0.629032258,0.06463428,75.95862709
38,0.685483871,0.065827606,52.47201493
38,0.911290323,0.066425127,5.830223881
38,0.556451613,0.068217101,98.52879127
38,0.516129032,0.071209084,105.2070475
38,0.306451613,0.071915633,227.7361624
38,0.169354839,0.07311937,462.1731734
38,0.177419355,0.073262885,461.3117136
38,0.39516129,0.074250832,174.3079394
38,0.475806452,0.075885464,140.2760633
38,0.016129032,0.078297719,2938.157021
38,0.387096774,0.079498219,174.688356
38,0.564516129,0.083169149,93.60469334
38,0.588709677,0.085778415,87.56281172
38,0.548387097,0.086335698,98.95895183
38,0.241935484,0.087034952,319.9635125
38,0.822580645,0.087316391,17.51816634
38,0.112903226,0.089278865,778.5754626
38,0.314516129,0.089518475,226.8117021
38,0.10483871,0.093093301,800.817995
38,0.903225806,0.093569324,5.837520782
38,0.266129032,0.095029056,274.3634767
38,0.282258065,0.097095335,262.1992575
38,0.846774194,0.09802983,11.67877756
38,0.443548387,0.103633018,156.9267466
38,0.790322581,0.109592019,29.08759205
38,0.733870968,0.112014964,46.62705698
38,0.612903226,0.113619707,81.52123279
38,0.040322581,0.11811484,1651.654446
38,0.5,0.118464194,110.5679702
38,0.129032258,0.122443118,658.8152985
38,0.919354839,0.122970327,5.828382123
38,0.161290323,0.123338263,483.1525295
38,0.879032258,0.124483228,11.5916225
38,0.491935484,0.126362202,122.2434111
38,0.379032258,0.127770882,181.3590933
38,0.637096774,0.129226657,75.6039007
38,0.709677419,0.12930156,52.29238181
