sampleid,field_rank,ptype_count
63,0.873417722,46
33,0.873526259,2
44,0.873648649,1
68,0.873809524,1
64,0.873822976,17
66,0.873822976,23
79,0.873913043,2
20,0.874074074,203
40,0.87426557,9
67,0.874269006,4
44,0.874324324,1
58,0.87434555,2
3,0.874361593,6
56,0.874551971,13
33,0.874598071,2
66,0.874764595,23
5,0.875,1
9,0.875,17
16,0.875,2
22,0.875,2
25,0.875,3
26,0.875,24
35,0.875,7
44,0.875,1
69,0.875,10
3,0.875383044,6
40,0.875440658,9
45,0.875555556,466
10,0.875621891,2
33,0.875669882,2
44,0.875675676,1
64,0.875706215,17
66,0.875706215,23
4,0.875862069,11
23,0.875862069,13
2,0.876106195,24
12,0.876146789,1
68,0.876190476,1
44,0.876351351,1
3,0.876404494,6
40,0.876615746,9
66,0.876647834,23
33,0.876741693,2
34,0.876923077,1
44,0.877027027,1
67,0.877192982,4
76,0.877192982,4
19,0.877272727,39
3,0.877425945,6
64,0.877589454,16
66,0.877589454,23
63,0.877637131,34
44,0.877702703,1
20,0.877777778,182
45,0.877777778,457
40,0.877790834,8
33,0.877813505,2
56,0.878136201,15
79,0.87826087,2
44,0.878378378,1
57,0.878378378,1
3,0.878447395,2
66,0.878531073,11
68,0.878571429,1
18,0.878612717,57
49,0.878787879,1
33,0.878885316,2
40,0.878965922,3
38,0.879032258,1
44,0.879054054,1
4,0.879310345,10
3,0.879468846,5
64,0.879472693,16
66,0.879472693,22
58,0.879581152,1
44,0.87972973,1
33,0.879957128,2
45,0.88,449
67,0.880116959,4
40,0.880141011,4
69,0.880208333,8
44,0.880405405,1
66,0.880414313,22
3,0.880490296,3
2,0.880530973,8
10,0.880597015,1
30,0.880597015,1
12,0.880733945,1
68,0.880952381,1
33,0.881028939,2
44,0.881081081,1
40,0.881316099,8
64,0.881355932,15
66,0.881355932,9
20,0.881481481,105
3,0.881511747,5
9,0.881578947,19
56,0.88172043,14
44,0.881756757,1
19,0.881818182,43
63,0.88185654,22
33,0.88210075,2
45,0.882222222,449
66,0.882297552,22
44,0.882432432,1
40,0.882491187,4
3,0.882533197,5
79,0.882608696,2
4,0.882758621,10
23,0.882758621,5
67,0.883040936,1
44,0.883108108,1
33,0.883172562,2
64,0.883239171,15
66,0.883239171,22
68,0.883333333,1
3,0.883554648,5
